Pitch	Ball_X	Ball_Y	 Ball_V	 Abner_V	 Speed	 Elevation	 Estmated Z	 Abner_Crush	 Omega	 Abner_RPM	 Abner_URPM	 Abner_LRPM	 FRate	 Start Frame	 Frames	 Ball-Thres	 Mark-Thres	 Markers	 Scale	 InitialX	 InitialY	 CL	 rw/V
123	-9	17	139	146.6666667	143.7	-1.44	12.1	1.07	-925.8	-1700	2074	2480	500	2	5	17	70	0.791	1.275	55.215	6.321	0.246176	0.03549
124	-9	17.5	141	154	145.3	-1.44	12.7	1.07	-948.4	-1700	2198	2604	500	2	5	17	70	0.791	1.3	55.34	6.32	0.245278	0.035956
125	-9	17	141	154	144.8	-1.43	12.8	1.07	-939.7	-1700	2198	2604	500	2	5	17	70	0.791	1.256	55.225	6.322	0.239765	0.035749
126	-9	16.5	141	154	145.2	-1.41	13.2	1.07	-963.4	-1700	2198	2604	500	2	5	17	70	0.791	1.303	55.243	6.321	0.230199	0.03655
127	0	-36	84	95.33333333	86.6	-1.14	-35.5	1.07	-1181.4	-1900	1158	1612	500	1	7	18	80	0.791	1.031	55.643	6.318	0.226091	0.075149
128	0	-35	84	95.33333333	86.2	-1.13	-36.1	1.07	-1174.4	-1900	1158	1612	500	1	7	18	80	0.791	0.998	55.644	6.317	0.244022	0.075051
129	0	-34	84	95.33333333	85.9	-1.01	-35.4	1.07	-1216	-1900	1158	1612	500	1	7	18	80	0.791	1.018	55.75	6.32	0.248865	0.07798
130	-2	-12	95	102.6666667	98	-0.95	-15.1	1.07	-1261.7	-1900	1282	1736	500	1	7	18	80	0.791	1.029	55.719	6.323	0.260762	0.070921
131	-3	-10.5	97	102.6666667	98.8	-0.94	-13.5	1.07	-1295.3	-1900	1282	1736	500	1	7	18	80	0.791	1.023	55.603	6.323	0.261895	0.07222
132	-3	-10.5	95	102.6666667	98.8	-1.03	-14.6	1.07	-1289.6	-1900	1282	1736	500	1	7	18	80	0.791	1.03	55.6	6.323	0.273021	0.071902
133	-2	3	106	110	109.6	-0.91	-1.2	1.07	-1360.9	-1900	1405	1860	500	1	7	18	80	0.791	1.008	55.633	6.324	0.271905	0.068401
134	-2	2	106	110	109	-0.89	-2	1.07	-1272.2	-1900	1405	1860	500	1	7	18	80	0.791	1.007	55.722	6.326	0.265934	0.064295
135	-2	2.5	106	110	108.7	-0.84	-1.5	1.07	-1343.5	-1900	1405	1860	500	1	7	18	80	0.791	1.003	55.695	6.324	0.268167	0.068085
136	-3.5	9.5	114	117.3333333	118.9	-1.01	4.8	1.07	-1269	-1900	1530	1984	500	1	7	18	80	0.791	1.002	55.573	6.32	0.267987	0.058793
137	-4	10	114	117.3333333	118.8	-1.04	4.1	1.07	-1255.5	-1900	1530	1984	500	1	7	18	80	0.791	0.997	55.677	6.322	0.278815	0.058216
138	-4	10	114	117.3333333	118.6	-1.03	4.2	1.07	-1254	-1900	1530	1984	500	1	7	18	80	0.791	1.024	55.634	6.319	0.279139	0.058245
139	-4	13	122	124.6666667	126.9	-1.21	7.2	1.07	-1208.7	-1900	1653	2108	500	1	7	18	80	0.791	1.033	55.656	6.313	0.272832	0.052469
140	-5	15	122	124.6666667	126.8	-1.04	9	1.07	-1201	-1900	1653	2108	500	1	7	18	80	0.791	1.026	55.729	6.318	0.273772	0.052176
141	-5	12	122	124.6666667	126.5	-1.17	7.5	1.07	-1239.9	-1900	1653	2108	500	1	7	18	80	0.791	1.023	55.66	6.315	0.259537	0.053993
142	-7	16	129	132	133.9	-1.37	8.7	1.07	-1111.4	-1900	1778	2232	500	1	7	18	80	0.791	1.036	55.508	6.306	0.281263	0.045723
143	-6	15	129	132	133.7	-1.42	8	1.07	-1128.7	-1900	1778	2232	500	1	7	18	80	0.791	1.07	55.541	6.305	0.278232	0.046504
144	-6	17.5	129	132	133.6	-1.14	11.3	1.07	-1128.7	-1900	1778	2232	500	1	7	18	80	0.791	1.026	55.663	6.315	0.270327	0.046539
145	-7	18	133	139.3333333	139	-1.38	11.1	1.07	-1110.2	-1900	1902	2356	500	1	7	18	80	0.791	0.988	55.536	6.306	0.276567	0.043998
146	-8	19	133	139.3333333	138.7	-1.29	11.8	1.07	-1108.3	-1900	1902	2356	500	1	7	18	80	0.791	1.048	55.716	6.311	0.278146	0.044018
147	-8.5	15	135	139.3333333	139	-1.53	9	1.07	-1074.4	-1900	1902	2356	500	1	7	18	80	0.791	1.018	55.657	6.299	0.264712	0.042579
148	-7	22	138	146.6666667	143.6	-1.31	14.1	1.07	-1183.2	-1900	2026	2480	500	1	7	18	80	0.791	1.041	55.499	6.309	0.287903	0.045389
149	-9	16	136	146.6666667	141.6	-1.57	9.5	1.07	-1006.4	-1900	2026	2480	500	1	7	18	80	0.791	1.02	55.565	6.3	0.2667	0.039152
150	-9	16	136	146.6666667	142.1	-1.71	7.7	1.07	-913.4	-1900	2026	2480	500	1	7	18	80	0.791	1.051	55.563	6.292	0.282857	0.035409
151	-8	19	141	154	145.7	-1.43	13.4	1.07	-1138.8	-1900	2150	2604	500	2	7	18	80	0.791	1.21	55.397	6.304	0.260863	0.043056
152	-7	8	138	154	142.3	-1.86	3.3	1.07	-443.9	-1900	2150	2604	500	2	7	18	80	0.791	1.276	55.295	6.285	0.212678	0.017184
153	-8	12	139	154	142	-1.11	13.5	1.07	-627.1	-1900	2150	2604	500	1	3	18	80	0.791	1.109	55.557	6.299	0.163882	0.024327
154	-10	16	141	161.3333333	143.3	-1.37	12.5	1.07	-978.2	-1900	2274	2728	500	1	3	18	80	0.791	1.05	55.631	6.302	0.233646	0.037603
